Nombre del anuncio,Resultados,Alcance,Impresiones,Coste_resultados,Importe_gastado,Dias_transcurridos,Clasificacion_descripcion,Lugar_descripcion,Objetivo_descripcion,Red_Social_descripcion,Name
24040101CVAATRIAMBIEHIDA18-34HYMTHRFB Defendamos Agua,3280,5266,5677,0.0625,205,27,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-03-abr-2024-3-abr-2024.xlsx
24040101CVAATRIGENERHIDA18-MAHYMTHRFB Defendamos Agua,26114,45453,49199,0.063477,1657.63,27,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-03-abr-2024-3-abr-2024.xlsx
24040401CVAATRISECVAHIDA18-MAHYMTHRFB Guerra Sucia,3761,11329,16912,0.127692,480.25,2,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-04-abr-2024-4-abr-2024.xlsx
24040101CVAATRIPADFAHIDA25-44HYMTHRFB Defendamos Agua,2199,3267,3480,0.060814,133.73,26,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-04-abr-2024-4-abr-2024.xlsx
24040101CVAATRIAMBIEHIDA18-34HYMTHRFB Defendamos Agua,3181,5102,5453,0.060918,193.78,26,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-04-abr-2024-4-abr-2024.xlsx
24040101CVAATRIGENERHIDA18-MAHYMTHRFB Defendamos Agua,26578,44661,47953,0.061938,1646.2,26,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-04-abr-2024-4-abr-2024.xlsx
24040101CVAATRIPADFAHIDA25-44HYMTHRFB Defendamos Agua,1812,3094,3263,0.063637,115.31,25,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-05-abr-2024-5-abr-2024.xlsx
24040101CVAATRIAMBIEHIDA18-34HYMTHRFB Defendamos Agua,2094,3980,4161,0.063386,132.73,25,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-05-abr-2024-5-abr-2024.xlsx
24040101CVAATRIGENERHIDA18-MAHYMTHRFB Defendamos Agua,27077,48128,53416,0.064014,1733.3,25,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-05-abr-2024-5-abr-2024.xlsx
24040401CVAATRISECVAHIDA18-MAHYMTHRFB Guerra Sucia,10352,17580,32693,0.123975,1283.39,1,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-05-abr-2024-5-abr-2024.xlsx
24040101CVAATRIPADFAHIDA25-44HYMTHRFB Defendamos Agua,1822,3722,3919,0.06607,120.38,24,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-06-abr-2024-6-abr-2024.xlsx
24040101CVAATRIAMBIEHIDA18-34HYMTHRFB Defendamos Agua,1983,3853,4032,0.066435,131.74,24,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-06-abr-2024-6-abr-2024.xlsx
24040101CVAATRIGENERHIDA18-MAHYMTHRFB Defendamos Agua,25536,56189,59042,0.067277,1717.98,24,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-06-abr-2024-6-abr-2024.xlsx
